symbol,name,date,close,buy_dip_1,buy_dip_2,take_profit_1,take_profit_2,stop_soft,stop_hard
600673.SH,东阳光,2026-02-13,37.8,37.233,36.855,39.312,40.446,36.666,35.91
605255.SH,天普股份,2026-02-13,135.11,133.08335000000002,131.73225000000002,140.51440000000002,144.56770000000003,131.0567,128.3545
001203.SZ,大中矿业,2026-02-13,34.44,33.923399999999994,33.57899999999999,35.8176,36.8508,33.4068,32.717999999999996
002772.SZ,众兴菌业,2026-02-13,16.36,16.1146,15.950999999999999,17.0144,17.505200000000002,15.8692,15.541999999999998
000630.SZ,铜陵有色,2026-02-13,7.05,6.944249999999999,6.873749999999999,7.332,7.5435,6.8385,6.6975
601233.SH,桐昆股份,2026-02-13,23.18,22.8323,22.6005,24.1072,24.8026,22.4846,22.020999999999997
