date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2024-01-16,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:2024年第一次临时股东大会决议的公告,https://data.eastmoney.com/notices/detail/000630/AN202401151617498925.html
2024-01-16,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:安徽承义律师事务所关于铜陵有色金属集团股份有限公司召开2024年第一次临时股东大会的法律意见书,https://data.eastmoney.com/notices/detail/000630/AN202401151617498924.html
2024-01-26,stock,000630.SZ,mid,bullish,4,0.82,1.0,铜陵有色:关于中铁建铜冠子公司冶炼净权益金回购事项仲裁结果的公告,https://data.eastmoney.com/notices/detail/000630/AN202401261618316314.html
2024-01-26,stock,000630.SZ,mid,bullish,4,0.82,1.0,铜陵有色:国泰君安证券股份有限公司、华泰联合证券有限责任公司关于中铁建铜冠子公司冶炼净权益金回购事项仲裁结果及本次重组或有对价支付的核查意见,https://data.eastmoney.com/notices/detail/000630/AN202401261618316316.html
2024-01-26,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:安徽承义律师事务所关于铜陵有色金属集团股份有限公司发行股份、可转换公司债券及支付现金购买资产并募集配套资金暨关联交易所涉冶炼净权益金仲裁事项的核查意见,https://data.eastmoney.com/notices/detail/000630/AN202401261618316318.html
2024-02-02,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于定向可转债“铜陵定转”开始转股的公告,https://data.eastmoney.com/notices/detail/000630/AN202402011620010878.html
2024-02-27,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:十届九次董事会会议决议公告,https://data.eastmoney.com/notices/detail/000630/AN202402261623585130.html
2024-03-05,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于向特定对象发行的可转换公司债券“铜陵定02”挂牌公告,https://data.eastmoney.com/notices/detail/000630/AN202403041625389800.html
2024-03-05,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于向特定对象发行的可转换公司债券“铜陵定转”挂牌公告,https://data.eastmoney.com/notices/detail/000630/AN202403041625390002.html
2024-03-05,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:国泰君安证券股份有限公司、华泰联合证券有限责任公司关于铜陵有色金属集团股份有限公司向特定对象发行的可转换公司债券“铜陵定转”在深圳证券交易所挂牌的核查意见,https://data.eastmoney.com/notices/detail/000630/AN202403041625389801.html
2024-03-05,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:国泰君安证券股份有限公司关于铜陵有色金属集团股份有限公司向特定对象发行的可转换公司债券“铜陵定02”在深圳证券交易所挂牌的核查意见,https://data.eastmoney.com/notices/detail/000630/AN202403041625389985.html
2024-03-05,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:安徽承义律师事务所关于铜陵有色金属集团股份有限公司向特定对象发行的可转换公司债券在深圳证券交易所挂牌的法律意见书,https://data.eastmoney.com/notices/detail/000630/AN202403041625389986.html
2024-03-26,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于定向可转债“铜陵定02”开始转股的公告,https://data.eastmoney.com/notices/detail/000630/AN202403251628086305.html
2024-03-28,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于公司监事收到安徽证监局警示函的公告,https://data.eastmoney.com/notices/detail/000630/AN202403271628310033.html
2024-03-28,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于监事亲属短线交易及致歉的公告,https://data.eastmoney.com/notices/detail/000630/AN202403271628310095.html
2024-03-29,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于控股子公司中铁建铜冠2023年度业绩快报的公告,https://data.eastmoney.com/notices/detail/000630/AN202403281628447810.html
2024-04-01,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于向特定对象发行可转换公司债券解除限售的提示性公告,https://data.eastmoney.com/notices/detail/000630/AN202403311629187607.html
2024-04-01,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:国泰君安证券股份有限公司关于铜陵有色金属集团股份有限公司关于发行股份、可转换公司债券及支付现金购买资产并募集配套资金暨关联交易之部分可转换公司债券解禁的核查意见,https://data.eastmoney.com/notices/detail/000630/AN202403311629187606.html
2024-04-09,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:关于2024年第一季度可转换公司债券转股情况的公告,https://data.eastmoney.com/notices/detail/000630/AN202404081630046459.html
2024-04-29,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:2023年年度审计报告,https://data.eastmoney.com/notices/detail/000630/AN202404281631530444.html
2024-04-29,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:2023年年度报告,https://data.eastmoney.com/notices/detail/000630/AN202404281631530451.html
2024-04-29,stock,000630.SZ,mid,neutral,2,0.62,1.0,铜陵有色:2023年年度报告摘要,https://data.eastmoney.com/notices/detail/000630/AN202404281631530422.html
