date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2022-01-05,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年第四季度可转换公司债券转股情况公告,https://data.eastmoney.com/notices/detail/002772/AN202201041538468520.html
2022-01-07,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202201061538832665.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度业绩预告,https://data.eastmoney.com/notices/detail/002772/AN202201121540005167.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于召开2022年第一次临时股东大会的通知,https://data.eastmoney.com/notices/detail/002772/AN202201121540005176.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于补选独立董事的公告,https://data.eastmoney.com/notices/detail/002772/AN202201121540005164.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事候选人声明,https://data.eastmoney.com/notices/detail/002772/AN202201121540005171.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事关于第四届董事会第十会议相关事项的独立意见,https://data.eastmoney.com/notices/detail/002772/AN202201121540005166.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事提名人声明,https://data.eastmoney.com/notices/detail/002772/AN202201121540005163.html
2022-01-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:第四届董事会第十次会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202201121540005178.html
2022-01-18,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于完成工商变更登记的公告,https://data.eastmoney.com/notices/detail/002772/AN202201171541000575.html
2022-01-29,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年第一次临时股东大会决议公告,https://data.eastmoney.com/notices/detail/002772/AN202201281543196244.html
2022-01-29,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:国浩律师(北京)事务所关于天水众兴菌业科技股份有限公司2022年第一次临时股东大会之法律意见书,https://data.eastmoney.com/notices/detail/002772/AN202201281543196235.html
2022-02-08,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202202071545520266.html
2022-02-18,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202202171547594845.html
2022-02-18,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:委托理财管理制度,https://data.eastmoney.com/notices/detail/002772/AN202202171547594848.html
2022-02-18,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:投资者关系管理制度,https://data.eastmoney.com/notices/detail/002772/AN202202171547594844.html
2022-02-18,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:第四届董事会第十一次会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202202171547594846.html
2022-03-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:中国国际金融股份有限公司关于公司可转换公司债券回售有关事项的核查意见,https://data.eastmoney.com/notices/detail/002772/AN202203101551781437.html
2022-03-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售的公告,https://data.eastmoney.com/notices/detail/002772/AN202203101551781425.html
2022-03-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于变更签字注册会计师的公告,https://data.eastmoney.com/notices/detail/002772/AN202203101551781416.html
2022-03-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:国浩律师(北京)事务所关于公司可转换公司债券回售之法律意见书,https://data.eastmoney.com/notices/detail/002772/AN202203101551781429.html
2022-03-17,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售的第一次提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202203161552993617.html
2022-03-17,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202203161552993616.html
2022-03-22,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售的第二次提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202203211554035507.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年年度审计报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527478.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年年度报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527486.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年年度报告摘要,https://data.eastmoney.com/notices/detail/002772/AN202203231554527451.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度独立董事述职报告-刘遐,https://data.eastmoney.com/notices/detail/002772/AN202203231554527468.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度独立董事述职报告-巨铭,https://data.eastmoney.com/notices/detail/002772/AN202203231554527452.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度独立董事述职报告-彭玲,https://data.eastmoney.com/notices/detail/002772/AN202203231554527467.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度监事会工作报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527455.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度董事会工作报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527477.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度财务决算报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527482.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年度监事薪酬(津贴)绩效方案,https://data.eastmoney.com/notices/detail/002772/AN202203231554527483.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年度董事、高级管理人员薪酬(津贴)绩效方案,https://data.eastmoney.com/notices/detail/002772/AN202203231554527474.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:中国国际金融股份有限公司关于公司2021年度募集资金存放与使用情况专项报告的核查意见,https://data.eastmoney.com/notices/detail/002772/AN202203231554527475.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:中国国际金融股份有限公司关于公司部分募集资金投资项目结项并将节余募集资金永久性补充流动资金事项的核查意见,https://data.eastmoney.com/notices/detail/002772/AN202203231554527469.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于2021年度利润分配预案的公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527459.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527481.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于召开2021年度股东大会的通知,https://data.eastmoney.com/notices/detail/002772/AN202203231554527453.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于召开众兴转债2022年第一次债券持有人会议的通知,https://data.eastmoney.com/notices/detail/002772/AN202203231554527470.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于拟续聘会计师事务所的公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527464.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于部分募集资金投资项目结项并将节余募集资金永久性补充流动资金的公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527473.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于预计2022年为子公司提供担保额度的公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527472.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于预计2022年向银行等金融机构申请综合授信额度的公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527454.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:内部控制自我评价报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527476.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:内部控制鉴证报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527485.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:年度关联方资金占用专项审计报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527456.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:年度募集资金使用情况专项说明,https://data.eastmoney.com/notices/detail/002772/AN202203231554527450.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:年度募集资金使用鉴证报告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527460.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:未来三年(2022-2024年)股东回报规划,https://data.eastmoney.com/notices/detail/002772/AN202203231554527480.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事关于拟续聘2022年度审计机构的事前认可意见,https://data.eastmoney.com/notices/detail/002772/AN202203231554527479.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事关于第四届董事会第十二次会议相关事项的独立意见,https://data.eastmoney.com/notices/detail/002772/AN202203231554527465.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事对担保等事项的独立意见,https://data.eastmoney.com/notices/detail/002772/AN202203231554527484.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:监事会关于2021年度内部控制自我评价报告的审核意见,https://data.eastmoney.com/notices/detail/002772/AN202203231554527471.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:监事会决议公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527461.html
2022-03-24,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:董事会决议公告,https://data.eastmoney.com/notices/detail/002772/AN202203231554527463.html
2022-03-26,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于举行2021年度网上业绩说明会的公告,https://data.eastmoney.com/notices/detail/002772/AN202203251554937889.html
2022-03-26,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售结果的公告,https://data.eastmoney.com/notices/detail/002772/AN202203251554937886.html
2022-04-01,stock,002772.SZ,mid,neutral,2,0.62,1.0,深交所:关于对天水众兴菌业科技股份有限公司及相关当事人给予通报批评处分的决定,https://data.eastmoney.com/notices/detail/002772/AN202204011556556145.html
2022-04-06,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年第一季度可转换公司债券转股情况公告,https://data.eastmoney.com/notices/detail/002772/AN202204061557553048.html
2022-04-06,stock,002772.SZ,short,neutral,2,0.62,1.0,众兴菌业:关于公司及相关人员收到甘肃监管局警示函的公告,https://data.eastmoney.com/notices/detail/002772/AN202204061557553047.html
2022-04-09,stock,002772.SZ,short,neutral,2,0.62,1.0,众兴菌业:大公关于关注天水众兴菌业科技股份有限公司及相关人员受到处分及被采取监管措施的公告,https://data.eastmoney.com/notices/detail/002772/AN202204081558026123.html
2022-04-12,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年一季度报告,https://data.eastmoney.com/notices/detail/002772/AN202204111558651388.html
2022-04-12,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:第四届监事会第七次会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202204111558651603.html
2022-04-12,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:第四届董事会第十三次会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202204111558651393.html
2022-04-13,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:投资者关系活动记录表,https://data.eastmoney.com/notices/detail/002772/AN202204131559068287.html
2022-04-16,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年度股东大会决议公告,https://data.eastmoney.com/notices/detail/002772/AN202204151559465090.html
2022-04-16,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:“众兴转债”2022年第一次债券持有人会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202204151559465472.html
2022-04-16,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:国浩律师(北京)事务所关于公司2021年度股东大会之法律意见书,https://data.eastmoney.com/notices/detail/002772/AN202204151559465089.html
2022-04-16,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:国浩律师(北京)事务所关于公司“众兴转债”2022年第一次债券持有人会议之法律意见书,https://data.eastmoney.com/notices/detail/002772/AN202204151559465097.html
2022-04-19,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:中国国际金融股份有限公司关于公司可转换公司债券回售有关事项的核查意见,https://data.eastmoney.com/notices/detail/002772/AN202204181560063384.html
2022-04-19,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于“众兴转债”回售的公告,https://data.eastmoney.com/notices/detail/002772/AN202204181560063365.html
2022-04-19,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:国浩律师(北京)事务所关于公司可转换公司债券回售之法律意见书,https://data.eastmoney.com/notices/detail/002772/AN202204181560063374.html
2022-04-26,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售的第一次提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202204251561529721.html
2022-04-26,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202204251561529584.html
2022-04-28,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售的第二次提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202204271561956516.html
2022-05-07,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债回售结果的公告,https://data.eastmoney.com/notices/detail/002772/AN202205061563911631.html
2022-05-10,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债暂停转股的提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202205091564554679.html
2022-05-12,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2021年年度权益分派实施公告,https://data.eastmoney.com/notices/detail/002772/AN202205111564953224.html
2022-05-12,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债转股价格调整的公告,https://data.eastmoney.com/notices/detail/002772/AN202205111564953169.html
2022-05-13,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202205121565148519.html
2022-05-19,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于众兴转债恢复转股的提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202205181566374628.html
2022-05-20,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于注销部分募集资金专项账户的公告,https://data.eastmoney.com/notices/detail/002772/AN202205191566587574.html
2022-05-20,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:天水众兴菌业科技股份有限公司主体与相关债项2022年度跟踪评级报告,https://data.eastmoney.com/notices/detail/002772/AN202205191566587580.html
2022-05-26,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202205251567839447.html
2022-06-03,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202206021569552672.html
2022-06-10,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告(2022/06/10),https://data.eastmoney.com/notices/detail/002772/AN202206091571023473.html
2022-06-28,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于为子公司提供担保的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202206271575181305.html
