date,target_type,target,horizon,direction,strength,confidence,source_weight,title,source_url
2023-01-05,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年第四季度可转换公司债券转股情况公告,https://data.eastmoney.com/notices/detail/002772/AN202301041581694044.html
2023-01-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:2022年度业绩预告,https://data.eastmoney.com/notices/detail/002772/AN202301101581852961.html
2023-01-11,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202301101581852962.html
2023-01-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于拟变更委托理财产品之私募基金产品管理人的公告,https://data.eastmoney.com/notices/detail/002772/AN202301101581852963.html
2023-01-11,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:第四届董事会第十九次会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202301101581852964.html
2023-01-17,stock,002772.SZ,mid,bearish,4,0.82,1.0,众兴菌业:关于众兴转债预计触发转股价格向下修正条件的提示性公告,https://data.eastmoney.com/notices/detail/002772/AN202301161582052830.html
2023-02-15,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于变更审计机构项目合伙人及签字注册会计师的公告,https://data.eastmoney.com/notices/detail/002772/AN202302141583143273.html
2023-02-17,stock,002772.SZ,mid,bearish,4,0.82,1.0,众兴菌业:关于不向下修正众兴转债转股价格的公告,https://data.eastmoney.com/notices/detail/002772/AN202302161583250236.html
2023-02-17,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:第四届董事会第二十次会议决议公告,https://data.eastmoney.com/notices/detail/002772/AN202302161583250235.html
2023-03-03,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:《公司章程》修订案,https://data.eastmoney.com/notices/detail/002772/AN202303021583979805.html
2023-03-03,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:公司章程-2023年3月,https://data.eastmoney.com/notices/detail/002772/AN202303021583979803.html
2023-03-03,stock,002772.SZ,mid,bullish,3,0.74,1.0,众兴菌业:关于使用部分闲置自有资金进行委托理财的进展公告,https://data.eastmoney.com/notices/detail/002772/AN202303021583979797.html
2023-03-03,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于变更公司注册资本暨修订公司章程的公告,https://data.eastmoney.com/notices/detail/002772/AN202303021583979798.html
2023-03-03,stock,002772.SZ,mid,bullish,4,0.82,1.0,众兴菌业:关于变更回购股份用途并注销的公告,https://data.eastmoney.com/notices/detail/002772/AN202303021583979796.html
2023-03-03,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于召开2023年第一次临时股东大会的通知,https://data.eastmoney.com/notices/detail/002772/AN202303021583979799.html
2023-03-03,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:关于召开众兴转债2023年第一次债券持有人会议的通知,https://data.eastmoney.com/notices/detail/002772/AN202303021583979801.html
2023-03-03,stock,002772.SZ,mid,bullish,4,0.82,1.0,众兴菌业:国浩律师(北京)事务所关于天水众兴菌业科技股份有限公司变更回购股份用途并注销之法律意见书,https://data.eastmoney.com/notices/detail/002772/AN202303021583979802.html
2023-03-03,stock,002772.SZ,mid,neutral,2,0.62,1.0,众兴菌业:独立董事关于第四届董事会第二十一次会议相关事项的独立意见,https://data.eastmoney.com/notices/detail/002772/AN202303021583979800.html
